wavelength,musp
704.6035534341023,1.0428050470553467
724.8711458257998,0.7564998644133877
744.5929461681251,0.6978737972779292
764.8258238711699,0.6974774650471801
785.2110604855235,0.6036421479377193
804.9579325474313,0.7434412393516054
824.7144475784094,0.5921256881271839
845.1247559123453,0.6466111371580462
865.4000626792989,0.6381446455985567
885.1334345845086,0.5992911956535142
905.3354547865288,0.5275242234070368
925.0109688773172,0.6060760275125304
945.2515609556182,0.523221572735046
965.488295846291,0.5830556567138135
985.2255249391288,0.541807537370171
1005.4776885803138,0.5299988335462565
