SDS [mm],Rmax/Rmin [-]
9.41,1.290734103983057
10.145,1.3628084710471937
10.88,1.4400042049364146
11.615,1.5224909926335752
12.35,1.6120347629051153
13.085,1.7016212669607942
13.82,1.7996555044904827
14.555,1.8944066530172705
15.29,1.999439973810962
16.025,2.0965251659500614
16.76,2.1986959506876675
17.495,2.2956887049068344
18.23,2.3800575879918546
18.965,2.4417678396957223
19.7,2.483676124861649
20.435,2.5051136707002817
21.17,2.473698754861409
21.905,2.399525137534696
22.64,2.287672981548331
23.375,2.184880607912542
24.11,2.0730341759524675
24.845,1.9690812824974304
25.58,1.8634709780054917
26.315,1.7803572687878322
27.05,1.769065250470889
27.785,1.8849978472654498
28.52,2.060872788703594
29.255,2.3733404845674486
29.99,2.6267538101914814
30.725,2.991375041055591
31.46,3.1831206559618512
32.195,3.4075765497377786
32.93,3.567392085371715
33.665,4.464314750758488
34.4,4.755517381997728
35.135,4.761965566951676
35.87,4.692611596408366
36.605,5.190657091957671
37.34,5.521965863105623
38.075,5.180790122056452
38.81,5.479060865806209
