SDS [mm],Rmax/Rmin [-]
9.41,1.3553869063308903
10.145,1.4484361732238344
10.88,1.5482981914123761
11.615,1.6582685775450472
12.35,1.7700097986547203
13.085,1.8887676772633366
13.82,1.9989186964745311
14.555,2.1004920518920276
15.29,2.1694670884488025
16.025,2.229824739657413
16.76,2.2519733081624578
17.495,2.202126335673376
18.23,2.107727431112699
18.965,1.9279650462197044
19.7,1.7336802454175362
20.435,1.5560074576543668
21.17,1.4588766736932346
21.905,1.3714730773031192
22.64,1.306030859894514
23.375,1.2311954568165526
24.11,1.1926527541431353
24.845,1.1543656260882336
25.58,1.1194876682339217
26.315,1.1478122982172758
27.05,1.1884191574848029
27.785,1.392616819440076
28.52,1.4996869311539123
29.255,1.918041259536555
29.99,2.0412527305581323
30.725,2.3059914629015514
31.46,2.6909875476575875
32.195,3.5283695983002956
32.93,4.312765631981934
33.665,3.7123572589350173
34.4,7.105113450191186
35.135,6.231048764533877
35.87,5.663582276990871
36.605,3.83994443641348
37.34,4.133440988017604
38.075,5.403782844493566
38.81,9.964329574890817
