SDS [mm],Rmax/Rmin [-]
9.41,1.023724794043659
10.145,1.027814097700649
10.88,1.0330256477283177
11.615,1.038792589495765
12.35,1.0441888587815884
13.085,1.0504702968685509
13.82,1.0564395602962904
14.555,1.0632128408133665
15.29,1.0699089344214836
16.025,1.077793269598238
16.76,1.0847954400660984
17.495,1.0927113907853214
18.23,1.1003769869453288
18.965,1.1101492281076664
19.7,1.1181011275769497
20.435,1.124574335967047
21.17,1.131272638646078
21.905,1.139749644048877
22.64,1.1515854966414096
23.375,1.1597492493691066
24.11,1.168647298658983
24.845,1.1799942392200444
25.58,1.1906889086000394
26.315,1.203030671933746
27.05,1.2081714338209333
27.785,1.2158342846432888
28.52,1.224453568696154
29.255,1.2315561073164676
29.99,1.2460956145291415
30.725,1.2533738211162588
31.46,1.2732244803401809
32.195,1.282255057729726
32.93,1.2966299464677153
33.665,1.2985212713448067
34.4,1.3078940612319148
35.135,1.319833207676533
35.87,1.3328185018813647
36.605,1.3475850382675048
37.34,1.358962530017438
38.075,1.3671558466365012
38.81,1.3768773870117788
