SDS [mm],Rmax/Rmin [-]
9.41,1.2952434963335029
10.145,1.358567437429834
10.88,1.4265693812730382
11.615,1.498885212162499
12.35,1.5778404274538524
13.085,1.656345950466914
13.82,1.7403534838525114
14.555,1.8234848636783973
15.29,1.913543864272733
16.025,2.000092871045122
16.76,2.0908165693310297
17.495,2.1824677975496316
18.23,2.27275521335596
18.965,2.3617230248396646
19.7,2.443742847521357
20.435,2.5253721056275813
21.17,2.586584781483098
21.905,2.656802543839807
22.64,2.714680034509972
23.375,2.7738065662413
24.11,2.8122978817835764
24.845,2.8495259349798827
25.58,2.892864177930982
26.315,2.9470798059521437
27.05,3.0293950071782936
27.785,3.129302731343985
28.52,3.212828995534912
29.255,3.340108025227096
29.99,3.416834051074648
30.725,3.5178285706031454
31.46,3.5205751177772933
32.195,3.614927093115835
32.93,3.666696483993608
33.665,3.781199712606893
34.4,3.8409752408394446
35.135,3.879116598788735
35.87,3.915891279815399
36.605,3.9654762762029288
37.34,3.91620941007193
38.075,3.96636966650561
38.81,3.8547410419729857
