SDS [mm],Rmax/Rmin [-]
9.41,1.0692442124673371
10.145,1.0825169687824543
10.88,1.0965446720569112
11.615,1.1110653885384125
12.35,1.1260733357340302
13.085,1.142047504416443
13.82,1.158721599521056
14.555,1.1761610957470618
15.29,1.1939458968918857
16.025,1.2119558286407655
16.76,1.2304545087450969
17.495,1.249600638452033
18.23,1.2695576438880392
18.965,1.289417758310105
19.7,1.3092837402553272
20.435,1.329121417046184
21.17,1.3490555001833775
21.905,1.3688751329622684
22.64,1.3884510000214991
23.375,1.4075891729845302
24.11,1.4276355679730957
24.845,1.4461729485796038
25.58,1.4674669997514374
26.315,1.487407848524666
27.05,1.5095056686491088
27.785,1.5332394361131532
28.52,1.5574957038746038
29.255,1.5805856867605794
29.99,1.6019952565297202
30.725,1.6210514590231373
31.46,1.6414401770262212
32.195,1.6614040258095943
32.93,1.681148320415651
33.665,1.7037964952326115
34.4,1.7234850508247022
35.135,1.7471117464544839
35.87,1.7603318675952615
36.605,1.77806783339089
37.34,1.7920969634462274
38.075,1.810152218689081
38.81,1.8236709631126349
