SDS [mm],Rmax/Rmin [-]
9.41,1.033733089622867
10.145,1.04342257679679
10.88,1.0543947629821127
11.615,1.0657207647565594
12.35,1.0776272323196456
13.085,1.0897971107287778
13.82,1.1029499641810396
14.555,1.1191439272331996
15.29,1.132864326306763
16.025,1.1474369991986575
16.76,1.1576935718762535
17.495,1.1696798389991776
18.23,1.179212195397619
18.965,1.1824565010517591
19.7,1.1872320401011431
20.435,1.188398061096351
21.17,1.179239911422083
21.905,1.165076975113377
22.64,1.1479437790135463
23.375,1.14851119727041
24.11,1.1467415236311016
24.845,1.13901144565782
25.58,1.1324883542742434
26.315,1.1183100826442727
27.05,1.1335184986159397
27.785,1.1468971872204208
28.52,1.231526577848981
29.255,1.310291718031388
29.99,1.4072087206421613
30.725,1.4676658043974324
31.46,1.5186006507211098
32.195,1.5551843768680533
32.93,1.607464352321474
33.665,1.6332464254844505
34.4,1.647740820395302
35.135,1.618022696460801
35.87,1.6284248423908931
36.605,1.632253160530519
37.34,1.7105761364728782
38.075,1.6411210882333473
38.81,1.7310239164824672
