wl,mua (1/cm)
725.0,1.2230050223214286
726.0,1.2210651957142857
727.0,1.2191222398214285
728.0,1.2171763199999999
729.0,1.2152276016071428
730.0,1.21327625
731.0,1.2113224305357144
732.0,1.2093663085714286
733.0,1.2074080494642858
734.0,1.2054478185714286
735.0,1.2034857812500002
736.0,1.2015221028571428
737.0,1.19955694875
738.0,1.1975904842857144
739.0,1.1956228748214286
740.0,1.1936542857142858
741.0,1.1916848823214286
742.0,1.1897148300000002
743.0,1.1877442941071428
744.0,1.18577344
745.0,1.1838024330357144
746.0,1.1818314385714286
747.0,1.1798606219642858
748.0,1.1778901485714286
749.0,1.17592018375
750.0,1.1739508928571427
751.0,1.17198244125
752.0,1.1700149942857143
753.0,1.1680487173214287
754.0,1.1660837757142857
755.0,1.1641203348214286
756.0,1.1621585600000002
757.0,1.160198616607143
758.0,1.1582406699999999
759.0,1.1562848855357144
760.0,1.1543314285714286
761.0,1.1523804644642859
762.0,1.1504321585714286
763.0,1.14848667625
764.0,1.146544182857143
765.0,1.1446048437499998
766.0,1.1426688242857144
767.0,1.1407362898214286
768.0,1.1388074057142858
769.0,1.1368823373214285
770.0,1.13496125
771.0,1.133044309107143
772.0,1.1311316800000002
773.0,1.1292235280357141
774.0,1.1273200185714287
775.0,1.1254213169642857
776.0,1.1235275885714289
777.0,1.12163899875
778.0,1.119755712857143
779.0,1.11787789625
780.0,1.116005714285714
781.0,1.1141393323214286
782.0,1.1122789157142858
783.0,1.1104246298214286
784.0,1.1085766400000001
785.0,1.1067351116071429
786.0,1.10490021
787.0,1.1030721005357143
788.0,1.1012509485714286
789.0,1.099436919464286
790.0,1.0976301785714289
791.0,1.09583089125
792.0,1.094039222857143
793.0,1.09225533875
794.0,1.0904794042857144
795.0,1.0887115848214284
796.0,1.0869520457142858
797.0,1.0852009523214285
798.0,1.08345847
799.0,1.0817247641071428
800.0,1.08
801.0,1.0782843119642858
802.0,1.07657771
803.0,1.0748801730357145
804.0,1.07319168
805.0,1.0715122098214287
806.0,1.0698417414285715
807.0,1.06818025375
808.0,1.0665277257142858
809.0,1.0648841362500001
810.0,1.0632494642857144
811.0,1.0616236887500001
812.0,1.0600067885714286
813.0,1.0583987426785713
814.0,1.0567995300000002
815.0,1.0552091294642858
816.0,1.05362752
817.0,1.0520546805357145
818.0,1.0504905900000001
819.0,1.0489352273214285
820.0,1.0473885714285716
821.0,1.04585060125
822.0,1.0443212957142858
823.0,1.04280063375
824.0,1.0412885942857142
825.0,1.03978515625
826.0,1.0382902985714286
827.0,1.0368040001785714
828.0,1.03532624
829.0,1.0338569969642857
830.0,1.03239625
831.0,1.0309439780357144
832.0,1.02950016
833.0,1.0280647748214287
834.0,1.0266378014285715
835.0,1.02521921875
836.0,1.0238090057142857
837.0,1.02240714125
838.0,1.0210136042857143
839.0,1.01962837375
840.0,1.0182514285714286
841.0,1.0168827476785713
842.0,1.0155223100000002
843.0,1.0141700944642857
844.0,1.01282608
845.0,1.0114902455357142
846.0,1.0101625699999999
847.0,1.0088430323214286
848.0,1.0075316114285713
849.0,1.00622828625
850.0,1.0049330357142858
851.0,1.00364583875
852.0,1.0023666742857145
853.0,1.00109552125
854.0,0.9998323585714286
855.0,0.9985771651785714
856.0,0.99732992
857.0,0.9960906019642858
858.0,0.99485919
859.0,0.9936356630357143
860.0,0.9924200000000001
861.0,0.9912121798214285
862.0,0.9900121814285714
863.0,0.98881998375
864.0,0.9876355657142857
865.0,0.9864589062500001
866.0,0.9852899842857142
867.0,0.9841287787499999
868.0,0.9829752685714286
869.0,0.9818294326785715
870.0,0.9806912499999999
871.0,0.9795606994642858
872.0,0.97843776
873.0,0.9773224105357142
874.0,0.97621463
875.0,0.9751143973214285
