,wavelength,oxy,deoxy,water,fat,collagen,mel,musp
71,721,1.8849,6.9909,0.014316,0.0037600000000000003,0.048408,200.73,17.742
72,722,1.9063,6.8818,0.014712,0.0038299999999999996,0.048616,199.81,17.691
73,723,1.9277,6.7728,0.015108000000000003,0.0039,0.048824,198.89,17.641
74,724,1.9492,6.6638,0.015504,0.0040100000000000005,0.049032,197.98,17.590999999999998
75,725,1.9717,6.5547,0.0159,0.00415,0.04924,197.07,17.541
76,726,1.9941,6.4455,0.016304,0.0043,0.049504,196.17,17.492
77,727,2.0177,6.3093,0.016708,0.00447,0.049768,195.27,17.442999999999998
78,728,2.0413,6.1731,0.017112,0.00463,0.050032,194.38,17.394000000000002
79,729,2.0648,6.0376,0.017516,0.0048,0.050296,193.49,17.346
80,730,2.0884,5.9021,0.01792,0.00499,0.05056,192.61,17.297
81,731,2.112,5.9021,0.018324,0.0051600000000000005,0.050131999999999996,191.73,17.249000000000002
82,732,2.1355,5.9021,0.018728,0.00535,0.049704000000000005,190.86,17.201
83,733,2.1591,5.9021,0.019132,0.005520000000000001,0.049276,190.0,17.154
84,734,2.1826,5.9021,0.019536,0.00564,0.048848,189.14,17.107
85,735,2.2126,5.9009,0.01994,0.00576,0.04842,188.28,17.06
86,736,2.2426,5.8998,0.020344,0.00589,0.048288,187.43,17.012999999999998
87,737,2.279,5.8963,0.020748,0.006,0.048156,186.58,16.967
88,738,2.3154,5.8929,0.021152,0.0061600000000000005,0.048024,185.74,16.92
89,739,2.3518,5.9341,0.021556,0.00636,0.047892,184.91,16.874000000000002
90,740,2.3883,5.9754,0.02196,0.006540000000000001,0.04776,184.08,16.829
91,741,2.4247,6.0979,0.022364,0.0068,0.04748,183.25,16.783
92,742,2.4611,6.2204,0.022768,0.00707,0.047200000000000006,182.43,16.738
93,743,2.4975,6.3429,0.023172,0.00735,0.046919999999999996,181.61,16.692999999999998
94,744,2.5339,6.4654,0.023576,0.007679999999999999,0.046640000000000015,180.8,16.648
95,745,2.5725,6.6224,0.02398,0.00801,0.046360000000000005,180.0,16.604
96,746,2.611,6.7795,0.024384,0.00837,0.046419999999999996,179.19,16.56
97,747,2.6517,6.9594,0.024788,0.008740000000000001,0.04648,178.4,16.516
98,748,2.6924,7.1393,0.025192,0.00908,0.046540000000000005,177.6,16.472
99,749,2.7331,7.3321,0.025596,0.00941,0.0466,176.81,16.428
100,750,2.7738,7.5248,0.026,0.00972,0.04666,176.03,16.385
101,751,2.8145,7.8196,0.02592,0.01001,0.046136,175.25,16.342
102,752,2.8552,8.1143,0.02584,0.0103,0.045612,174.48,16.299
103,753,2.8959,8.1851,0.02576,0.01059,0.045088,173.71,16.256
104,754,2.9366,8.2559,0.02568,0.01089,0.044564,172.94,16.214000000000002
105,755,2.9730000000000003,8.306000000000001,0.0256,0.0112,0.04404,172.18,16.172
106,756,3.0094,8.3561,0.02552,0.01155,0.044592,171.42,16.13
107,757,3.0416,8.3561,0.02544,0.0119,0.045144,170.67,16.088
108,758,3.0737,8.3561,0.02536,0.01227,0.045696,169.92,16.047
109,759,3.1058,8.3241,0.02528,0.01258,0.046248000000000004,169.18,16.005
110,760,3.1379,8.2921,0.0252,0.01278,0.0468,168.44,15.964
111,761,3.1701,8.1848,0.02512,0.01289,0.046482,167.7,15.923
112,762,3.2022,8.0775,0.02504,0.0129,0.046164,166.97,15.883
113,763,3.2343,7.9466,0.02496,0.01273,0.045846,166.24,15.842
114,764,3.2665,7.8157,0.024880000000000003,0.012490000000000001,0.045528,165.52,15.802
115,765,3.3007,7.6844,0.0248,0.01206,0.04521,164.8,15.762
116,766,3.335,7.5531,0.02472,0.01153,0.04457,164.08,15.722
117,767,3.3714,7.4214,0.02464,0.01089,0.04393,163.37,15.682
118,768,3.4078,7.2897,0.02456,0.010209999999999999,0.043289999999999995,162.66,15.643
119,769,3.4442,7.1573,0.02448,0.00948,0.042650000000000014,161.96,15.604
120,770,3.4807,7.0249,0.0244,0.008709999999999999,0.042010000000000006,161.26,15.565
121,771,3.5171,6.8925,0.02432,0.00793,0.041546000000000013,160.57,15.526
122,772,3.5535,6.7602,0.02424,0.00719,0.041082,159.87,15.487
123,773,3.5899,6.6278,0.02416,0.006529999999999999,0.040618,159.19,15.449000000000002
124,774,3.6263,6.4954,0.02408,0.00596,0.040154,158.5,15.41
125,775,3.6584,6.3631,0.024,0.005529999999999999,0.03969,157.82,15.372
126,776,3.6906,6.2307,0.02384,0.00515,0.039858,157.15,15.334
127,777,3.7184,6.1001,0.02368,0.00481,0.040026,156.47,15.297
128,778,3.7463,5.9696,0.02352,0.00451,0.040194,155.8,15.259
129,779,3.7741,5.8642,0.02336,0.00426,0.040362,155.14,15.222
130,780,3.8019,5.7588,0.0232,0.00409,0.04053,154.48,15.185
131,781,3.8298,5.6534,0.02304,0.00391,0.040358000000000005,153.82,15.148
132,782,3.8576,5.5481,0.02288,0.0037799999999999995,0.040186,153.17,15.111
133,783,3.8855,5.4427,0.02272,0.00366,0.040014,152.52,15.075
134,784,3.9133,5.3373,0.02256,0.0036,0.039842,151.87,15.038
135,785,3.938,5.2319,0.0224,0.0035700000000000003,0.03967,151.23,15.002
136,786,3.9626,5.1265,0.02224,0.00355,0.039448000000000004,150.59,14.966
137,787,3.984,5.0313,0.02208,0.0035299999999999997,0.039226,149.95,14.93
138,788,4.0054,4.9361,0.02192,0.00349,0.039004,149.32,14.894
139,789,4.0268,4.8531,0.02176,0.00346,0.038782,148.69,14.859000000000002
140,790,4.0483,4.7701,0.0216,0.00346,0.03856,148.06,14.824000000000002
141,791,4.0697,4.6871,0.02144,0.0034700000000000004,0.038992000000000006,147.44,14.789
142,792,4.0911,4.6041,0.02128,0.0034700000000000004,0.039424,146.82,14.754
143,793,4.1125,4.5211,0.02112,0.0034700000000000004,0.039856,146.21,14.719
144,794,4.1339,4.4381,0.02096,0.00352,0.040288,145.59,14.684
145,795,4.1725,4.3689,0.0208,0.00359,0.04072,144.98,14.65
146,796,4.2111,4.2997,0.02064,0.0036899999999999997,0.040602,144.38,14.615
147,797,4.2667,4.2446,0.02048,0.00379,0.040484,143.78,14.581
