wl,mua (1/cm)
725.0,0.1489665967672487
726.0,0.14691948718276293
727.0,0.14476677965064474
728.0,0.1428003317079202
729.0,0.14120518907746388
730.0,0.1399525177929465
731.0,0.1389879878770202
732.0,0.1382572693523371
733.0,0.13770603224154934
734.0,0.13728045097975078
735.0,0.13695785987024595
736.0,0.13676441286146063
737.0,0.13673052503121352
738.0,0.13688661145732334
739.0,0.1372630872176088
740.0,0.13789036496379214
741.0,0.1387832007976497
742.0,0.139903498094572
743.0,0.14120201899301182
744.0,0.14262952563142192
745.0,0.14413678014825507
746.0,0.14567454468196397
747.0,0.14719432711517824
748.0,0.14868910516949793
749.0,0.15021431934353663
750.0,0.1518305765531954
751.0,0.1535984837143754
752.0,0.1555786477429777
753.0,0.15783167555490335
754.0,0.1604181740660535
755.0,0.16337754050970096
756.0,0.16656144947168933
757.0,0.16972357975326913
758.0,0.17261675946320512
759.0,0.17499381671026193
760.0,0.17660757960320425
761.0,0.17721087625079676
762.0,0.1765961050134004
763.0,0.17483536539228856
764.0,0.17212129967666434
765.0,0.1686470227754909
766.0,0.16460564959773144
767.0,0.16019029505234908
768.0,0.1555936835501429
769.0,0.1509881935197535
770.0,0.1465163230553557
771.0,0.14231818415018582
772.0,0.13853388879748058
773.0,0.13526026499298355
774.0,0.13230758956189237
775.0,0.12936968454903502
776.0,0.1261400355655539
777.0,0.12231212822259141
778.0,0.11760207992803381
779.0,0.11211264580709533
780.0,0.10627084912700432
781.0,0.100513749900381
782.0,0.09523795862298674
783.0,0.09052321913906178
784.0,0.08629992661692447
785.0,0.08249759965383538
786.0,0.07904575684705513
787.0,0.0758758331063168
788.0,0.07296712017155926
789.0,0.07034896685935005
790.0,0.06805307862675551
791.0,0.06611116093084193
792.0,0.0645462938952153
793.0,0.06329060768379682
794.0,0.06222169713736568
795.0,0.06121641737385704
796.0,0.06015162351120606
797.0,0.05890417066734793
798.0,0.05735348137630199
799.0,0.05549046258842031
800.0,0.05345798543303572
801.0,0.051409828707707654
802.0,0.04949977120999555
803.0,0.047881591737458824
804.0,0.04670906908765693
805.0,0.046107034992006225
806.0,0.04601169210108311
807.0,0.04628367706470309
808.0,0.04678342516493236
809.0,0.04737137168383715
810.0,0.04790795190348363
811.0,0.048253759750614696
812.0,0.04832590018173226
813.0,0.04818124843013927
814.0,0.04789791255637345
815.0,0.047554000620972564
816.0,0.04722762068447435
817.0,0.04699688080741654
818.0,0.0469398890503369
819.0,0.047130175660289826
820.0,0.04756113898416098
821.0,0.048157941026225955
822.0,0.04884356436445113
823.0,0.049540991576802904
824.0,0.05017320524124764
825.0,0.05066318815106155
826.0,0.050955307556514035
827.0,0.051073991567446374
828.0,0.05106240088537848
829.0,0.05096369621183029
830.0,0.05082103824832171
831.0,0.05067758769637266
832.0,0.05057649872914749
833.0,0.05054598442539089
834.0,0.05056746091656273
835.0,0.05061320687131043
836.0,0.05065550095828137
837.0,0.050666621846122986
838.0,0.05061884820348266
839.0,0.050484489817050386
840.0,0.05025190225836462
841.0,0.04995164289030972
842.0,0.04962112456680686
843.0,0.04929776014177718
844.0,0.04901896246914185
845.0,0.04882214440282203
846.0,0.04874467615618615
847.0,0.04881501423650364
848.0,0.04904178906380154
849.0,0.04943095797465985
850.0,0.0499884783056585
851.0,0.05072030739337745
852.0,0.051632402574396656
853.0,0.05272906375581107
854.0,0.053979089173463925
855.0,0.055317172278271085
856.0,0.05667662861006032
857.0,0.057990773708659384
858.0,0.05919292311389601
859.0,0.06021639236559797
860.0,0.0609952239093472
861.0,0.061508845949307764
862.0,0.06180807253675575
863.0,0.06194998137300728
864.0,0.061991650159378506
865.0,0.061990156597185576
866.0,0.06200257838774464
867.0,0.06208507422044844
868.0,0.062255545246899004
869.0,0.062480678847640206
870.0,0.06272358284531794
871.0,0.06294736506257811
872.0,0.06311513332206659
873.0,0.06318999544642925
874.0,0.06313655403670763
875.0,0.06296361241919066
