wl,mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm),mua (1/cm)
725.0,4.345556331233084,5.4791797219895395,3.9234690543759587,4.946982720734904,3.501381777518833,4.4147857194802675,3.0792945006617076,3.882588718225631,2.6572072238045825,3.350391716970995
726.0,4.292184668319109,5.411885016576268,3.882493023305863,4.8953172902552184,3.4728013782926173,4.378749563934169,3.063109733279371,3.8621818376131194,2.653418088266125,3.34561411129207
727.0,4.231089115229278,5.334851493115177,3.8351748890038158,4.8356552948308975,3.439260662778352,4.336459096546618,3.0433464365528895,3.8372628982623387,2.647432210327427,3.33806669997806
728.0,4.159098230282637,5.244080377312889,3.7788108529695745,4.764587597222507,3.398523475656512,4.285094817132124,3.0182360983434506,3.8056020370417416,2.637948721030388,3.326109256951359
729.0,4.080398018322647,5.144849675276381,3.7168358215370425,4.686445166285836,3.353273624751437,4.228040657295289,2.989711427965832,3.7696361483047442,2.626149231180227,3.3112316393141983
730.0,4.026839586850814,5.077319479072766,3.6758185114704944,4.634727688375841,3.324797436090175,4.192135897678916,2.973776360709855,3.7495441069819906,2.6227552853295353,3.3069523162850656
731.0,4.023935026043277,5.073657206750218,3.677038887470549,4.636266423332431,3.3301427488978215,4.198875639914644,2.9832466103250943,3.7614848564968577,2.636350471752367,3.3240940730790713
732.0,4.0441752541166665,5.099177494321014,3.6974880955528104,4.662050207436152,3.3508009369889535,4.224922920551289,3.004113778425097,3.7877956336664265,2.6574266198612406,3.350668346781564
733.0,4.055605689243904,5.113589782090139,3.7105111903483534,4.678470631308793,3.3654166914528028,4.243351480527446,3.020322192557252,3.8082323297461005,2.6752276936617023,3.3731131789647546
734.0,4.06151092138252,5.121035509569264,3.719157679635126,4.6893727264964635,3.3768044378877327,4.257709943423662,3.0344511961403393,3.8260471603508623,2.692097954392946,3.3943843772780617
735.0,4.071129129623838,5.133162815612664,3.7314569104278172,4.704880452278552,3.3917846912317966,4.276598088944438,3.052112472035776,3.848315725610326,2.7124402528397558,3.4200333622762136
736.0,4.082273677809672,5.1472146372382825,3.7456531335411603,4.722780037943202,3.4090325892726474,4.298345438648121,3.0724120450041355,3.87391083935304,2.7357915007356235,3.44947624005796
737.0,4.091940541662533,5.159403291661453,3.759176891204238,4.739831732387952,3.4264132407459433,4.32026017311445,3.093649590287649,3.9006886138409484,2.760885939829354,3.481117054567447
738.0,4.105280959677195,5.176223818723419,3.775988987503471,4.761029592939158,3.446697015329746,4.345835367154896,3.117405043156021,3.9306411413706357,2.7881130709822965,3.5154469155863737
739.0,4.13021729526203,5.207665285330385,3.802378699058948,4.794303577074325,3.4745401028558662,4.380941868818265,3.1467015066527844,3.967580160562206,2.818862910449703,3.554218452306147
740.0,4.1776011487075095,5.267410144022511,3.8474189307681073,4.851093434446743,3.5172367128287045,4.434776724870975,3.1870544948893027,4.018460015295207,2.8568722769499004,3.6021433057194394
741.0,4.253220289141133,5.362756016743168,3.916018472956096,4.937588509379425,3.5788166567710578,4.512421002015682,3.2416148405860206,4.087253494651938,2.9044130244009825,3.6620859872881946
742.0,4.339677924156427,5.471767817414625,3.9936460293815803,5.035466732698514,3.6476141346067332,4.599165647982402,3.3015822398318857,4.162864563266291,2.9555503450570395,3.7265634785501796
743.0,4.419958340067568,5.572990950519977,4.0660919339843336,5.126811568936767,3.712225527901097,4.680632187353557,3.3583591218178617,4.234452805770347,3.004492715734626,3.7882734241871368
744.0,4.501754699605344,5.676125490806739,4.139873127995053,5.219840030950284,3.7779915563847606,4.763554571093828,3.416109984774469,4.307269111237374,3.054228413164177,3.850983651380919
745.0,4.59620103706958,5.795210003261643,4.2243840243240856,5.326397248060803,3.852567011578591,4.857584492859962,3.480749998833097,4.3887717376591215,3.108932986087603,3.9199589824582812
746.0,4.703485996619657,5.930482343563915,4.319802315309455,5.446707267129312,3.9361186339992527,4.96293219069471,3.552434952689051,4.479157114260108,3.168751271378849,3.995382037825505
747.0,4.819276769697208,6.076479405270391,4.422493436622033,5.576187376610388,4.025710103546857,5.075895347950384,3.628926770471682,4.575603319290381,3.2321434373965072,4.075311290630378
748.0,4.932100127013318,6.218734942755922,4.522790517836415,5.70264891379374,4.113480908659511,5.186562884831558,3.704171299482609,4.670476855869376,3.294861690305706,4.154390826907194
749.0,5.038584454794331,6.352997790827633,4.617781310178129,5.8224199128332925,4.196978165561927,5.29184203483895,3.7761750209457254,4.761264156844609,3.3553718763295235,4.230686278850269
750.0,5.174905022058143,6.524880245203742,4.737604357572677,5.973501146504679,4.300303693087212,5.4221220478056145,3.863003028601748,4.870742949106551,3.425702364116283,4.319363850407487
751.0,5.363247212200315,6.762355180600396,4.90077124377645,6.179233307370305,4.438295275352584,5.596111434140214,3.9758193069287193,5.012989560910123,3.5133433385048534,4.429867687680032
