wavelength,musp
440.02672304669954,5.982159376238933
440.02672304669954,6.539844059733051
447.49375025520726,5.188295229285053
453.8120040470217,4.671932325196499
458.5165047058617,3.934199584243196
467.7887472834593,3.2739031320206173
472.9582276585801,2.914893617021278
482.53395492284,2.4271258673065272
495.167847047988,2.092549936297789
513.475931866061,2.1648484207744154
525.1453628740853,2.516547414525478
529.6310495487933,3.020853706885161
541.1187837157285,3.5155922532161465
553.1084937547921,3.0599565783760294
562.7667805458639,2.519923057721389
574.33224348618,2.7078523344414744
580.4601899196493,3.0468085106382983
587.0697203834688,2.9019978226258143
591.6648140502429,2.5802828069248065
596.1987913912984,2.0448430250916285
602.0332305291176,1.662674336368008
616.6432719311684,1.4978597350845249
634.5523549401339,1.3837956677919685
651.4010317183055,1.3869727805343022
668.249708496477,1.3337054434926774
685.0983852746484,1.2960532775888929
701.9470620528199,1.272934712527686
718.7957388309914,1.3097757007100217
735.6444156091629,1.3097757007100217
752.4930923873344,1.284426396914835
769.3417691655059,1.3391808931124398
786.1904459436773,1.3189014500762912
803.0391227218488,1.2661748981822996
819.8877995000203,1.247923399449764
836.7364762781918,1.2560351766642237
853.5851530563633,1.251979288056997
870.4338298345348,1.2736106939622225
887.2825066127062,1.28645434121845
904.1311833908776,1.2844263969148368
920.9798601690492,1.3047058399509837
937.8285369472208,1.3080181489802225
954.6772137253922,1.3302579381765351
969.2283436701766,1.312014889211932
