wavelength,musp
252.1535219592427,13.704439814072751
256.12991373919624,13.042134678367828
261.9137563282196,11.7536458435085
268.4205792408709,11.124782980212046
277.096343124406,9.764082791829818
281.4342250661735,9.423860465367047
285.77210700794103,9.014066550050751
290.10998894970857,7.908556746199208
294.4478708914761,7.197285945850972
297.4006116207953,6.331441808531022
297.4006116207953,6.8546025714738
300.4587155963305,5.873609479289049
309.6304576876624,5.189685815580633
318.8073394495415,5.698822588305871
322.64410351296505,6.330891541677786
326.9819854547325,6.732766162985948
347.5869246781283,7.756994854704283
366.02292293064033,8.249372213814285
386.3567445326756,8.137121670656605
396.388096523013,8.787480182683769
403.9793899211063,10.433842307765282
416.66666666666686,12.08361039588696
426.75327011538576,11.492380060290984
431.0911520571533,11.167618086906774
431.0911520571533,10.653009191577528
431.0911520571533,10.34306592271685
438.3209552934325,9.613050823242402
444.1047978824559,9.069879843045374
444.1047978824559,8.599627436905807
446.9967191769676,7.612678526234707
448.4426798242234,6.420911456850815
448.4426798242234,5.872068922561896
448.4426798242234,5.346416917890817
450.6116207951071,4.194573334170803
457.1184437077584,3.3131913705911824
466.87867807673535,2.5502678615630447
476.6389124457123,2.2150807877084286
511.4678899082569,2.0978926580506485
540.519877675841,2.4678315792982186
560.7938221160025,2.967711578494356
577.4946675918075,2.299202601821671
592.507645259939,2.4666983309585118
606.2691131498472,2.0740277812497414
633.7920489296637,1.8336458098975927
681.1926605504588,1.7236207284453684
725.5351681957187,1.6572590389054174
775.9938837920489,1.6125623911540004
827.9816513761468,1.589630777691676
890.6727828746177,1.5664658483947065
945.7186544342508,1.60886266863319
996.177370030581,1.6077627511270034
1017.5840978593272,1.5419010240898636
1043.577981651376,1.4977376696747786
