wl,C,H,I,K
601,0.0579607884023649,0.0579607884023649,0.0579607884023649,0.0340922663186165
602,0.0576981815799192,0.0576981815799192,0.0576981815799192,0.0338544253454345
603,0.0580452845242243,0.0580452845242243,0.0580452845242243,0.0341628008838288
604,0.0578749546295373,0.0578749546295373,0.0578749546295373,0.0340471675333806
605,0.0576127569730864,0.0576127569730864,0.0576127569730864,0.0338485570127312
606,0.0574868599340133,0.0574868599340133,0.0574868599340133,0.0337301649531076
607,0.0579748998899545,0.0579748998899545,0.0579748998899545,0.0342238236293574
608,0.0577541154218316,0.0577541154218316,0.0577541154218316,0.0340351558355699
609,0.0575987967977174,0.0575987967977174,0.0575987967977174,0.0339336511965101
610,0.0576392401570179,0.0576392401570179,0.0576392401570179,0.0339399046159221
611,0.0572588093980596,0.0572588093980596,0.0572588093980596,0.0336204203183274
612,0.0568130755144701,0.0568130755144701,0.0568130755144701,0.0331950403464278
613,0.0570772512040083,0.0570772512040083,0.0570772512040083,0.0334780710360386
614,0.0571494538669804,0.0571494538669804,0.0571494538669804,0.0335858223518788
615,0.0573287256937378,0.0573287256937378,0.0573287256937378,0.03364852915253
616,0.0569800075526202,0.0569800075526202,0.0569800075526202,0.0333767766503087
617,0.0566404802403228,0.0566404802403228,0.0566404802403228,0.0332333797316941
618,0.0568290657339402,0.0568290657339402,0.0568290657339402,0.0332516032725693
619,0.0566287882669399,0.0566287882669399,0.0566287882669399,0.0332043774627592
620,0.0567207878977807,0.0567207878977807,0.0567207878977807,0.0333347319559777
621,0.0569332432938207,0.0569332432938207,0.0569332432938207,0.033463366584425
622,0.0569339395864427,0.0569339395864427,0.0569339395864427,0.0334572825105226
623,0.0567894609905553,0.0567894609905553,0.0567894609905553,0.0334566365205091
624,0.056455548631915,0.056455548631915,0.056455548631915,0.0330755779961522
625,0.056876440935166,0.056876440935166,0.056876440935166,0.0335842501549419
626,0.0563408211768309,0.0563408211768309,0.0563408211768309,0.0330672048100624
627,0.0568079150402317,0.0568079150402317,0.0568079150402317,0.0335455740101755
628,0.0569939036348109,0.0569939036348109,0.0569939036348109,0.0337265481669814
629,0.0570207564069936,0.0570207564069936,0.0570207564069936,0.0337652254095077
630,0.0567309950594921,0.0567309950594921,0.0567309950594921,0.0335440044479413
631,0.0569437750871424,0.0569437750871424,0.0569437750871424,0.0337321007046603
632,0.0570550711905131,0.0570550711905131,0.0570550711905131,0.0339479244630208
633,0.0574435086644763,0.0574435086644763,0.0574435086644763,0.0342960211738038
634,0.0571802594509094,0.0571802594509094,0.0571802594509094,0.0341763134394767
635,0.0573876296892344,0.0573876296892344,0.0573876296892344,0.0342901190140052
636,0.0569805350672496,0.0569805350672496,0.0569805350672496,0.0339262050776178
637,0.0562066912856813,0.0562066912856813,0.0562066912856813,0.0331824993604973
638,0.0558239049673858,0.0558239049673858,0.0558239049673858,0.0327779506383567
639,0.0553588802759171,0.0553588802759171,0.0553588802759171,0.0322510684796541
640,0.0554244633736912,0.0554244633736912,0.0554244633736912,0.0324714823238748
641,0.0548743684506082,0.0548743684506082,0.0548743684506082,0.0319707408480639
642,0.0554246125023111,0.0554246125023111,0.0554246125023111,0.0324643030833398
643,0.0543758406229039,0.0543758406229039,0.0543758406229039,0.031574400112437
644,0.0535720712339466,0.0535720712339466,0.0535720712339466,0.0307815226762198
645,0.0547666468268183,0.0547666468268183,0.0547666468268183,0.0320147350990178
646,0.0549436909809539,0.0549436909809539,0.0549436909809539,0.0320035202301126
647,0.0547142142622633,0.0547142142622633,0.0547142142622633,0.0318332393049695
648,0.054731805254766,0.054731805254766,0.054731805254766,0.0318732556242163
649,0.0542938353277344,0.0542938353277344,0.0542938353277344,0.0315315696323901
650,0.0541655953909933,0.0541655953909933,0.0541655953909933,0.031416169615228
651,0.0543685579422392,0.0543685579422392,0.0543685579422392,0.0317384657609747
652,0.0539156897506737,0.0539156897506737,0.0539156897506737,0.0312389129908052
653,0.0543638885748621,0.0543638885748621,0.0543638885748621,0.0316784962055358
654,0.05439565965887,0.05439565965887,0.05439565965887,0.0317473719064477
655,0.0542372601722406,0.0542372601722406,0.0542372601722406,0.0315941298534362
