SDS [mm],Rmax / Rmin  [-]
12.0,1.0224028051122898
14.0,1.0196854648057887
16.0,1.0131211429340319
18.0,1.0075660235694464
20.0,1.0075368996755942
22.0,1.013586689737179
24.0,1.0076285714224302
26.0,1.011128845570261
28.0,1.0208703785368163
30.0,1.019280324340832
33.0,1.02499480882307
36.0,1.0428916831091
39.0,1.0665942416627912
