wavelength,mua
257.0606694560669,43.65040934187013
274.3200836820083,53.04075282940556
285.0337769339944,45.80353565621761
307.85048753064336,28.637226461046176
330.8054393305439,38.945286389845016
341.7887029288702,45.01832925497105
371.4769887642816,41.20933622621077
392.509400401821,64.11548387100524
415.0807328626987,102.58876779275265
434.22368348294094,74.72471606177422
437.8552798923562,48.18291440681624
446.9833465430482,29.746825691126567
458.7614970600704,19.702586189279163
474.9564540209757,13.140268143853312
502.6841833631319,10.113448343114587
522.0690560890641,9.665691263294216
523.9093921073488,14.690146208497339
528.5041841004185,19.507630256769612
539.4874476987447,25.141030854570584
550.470711297071,21.35301889319234
559.4524017813975,18.40109805451393
569.2991631799163,21.73874473657795
575.5753138075313,24.67854935066441
586.5585774058577,17.80449617324014
590.3823290877923,8.279599985756263
594.2102280058245,3.5394761968561634
594.7009842773671,4.817825387092413
598.6270344497078,2.437045889301483
602.7493871306656,1.489605287574313
605.3574061737204,0.9140615164942222
615.8736119924902,0.5482086489815357
624.7598059093506,0.3331528700443028
635.0656876117449,0.22230059054471743
649.3151464961779,0.1421496321063255
681.0740880688625,0.12276467586297032
713.4640019906733,0.1385077624909639
745.853915912484,0.19401858732370725
778.2438298342948,0.27339546712613044
810.6337437561056,0.35319805556667755
843.0236576779164,0.4312481378375128
875.4135715997271,0.5025217830296799
907.803485521538,0.5302648173051165
940.1933994433488,0.5442581134312835
972.5833133651596,0.5306621681954489
1004.9732272869704,0.4706097639048318
1035.8908723941531,0.3853014780531924
