wavelength,mua
399.67260822117146,92.95471511549356
408.0120043652238,104.58072584740286
419.5070934885414,88.3184062394784
428.4657728768841,68.78028484883927
438.1186532232971,51.26027150243524
447.7647950843024,37.7285061460499
454.2256548931266,27.9454664320438
465.3554427787542,21.02893114227873
476.5642051655148,17.460547173155252
497.9538013823209,13.779472056340527
509.6580574754457,17.1525133159756
529.65623863223,22.07871010519057
536.3768643142962,26.575272059488757
556.1113132048018,20.973584284242143
569.4707166242271,26.10643870563933
582.0637718989037,16.919738529730292
588.958525991927,11.040062779272311
590.3419425245545,7.8767347371125425
596.7715532921063,5.526135311465844
606.5387413604947,4.077876458989834
619.8435794834486,4.587263266909462
622.9628955983994,3.218617351832313
632.6482357220808,2.0405569988940515
640.995677351614,1.4143026948034783
662.9099319995681,1.0484772947356857
689.7407431239558,0.7930989031287975
716.6891714481857,0.7461752366114209
743.6841565806862,0.7653452246813944
772.0060955690013,0.7940811284097049
804.356129501637,0.9190174071521336
832.6027646416879,1.1243181916721563
866.5775904969128,1.219443699550672
893.5750259877435,1.2564741419320191
920.565110403584,1.2770617358356364
947.6268678005785,1.4824511325923246
970.977863801514,1.623355661495753
997.9205746229736,1.5112331332760727
