wavelength,mua
251.99150009024763,46.7520958725117
271.159045017664,62.71223941229333
288.8860007653967,50.170353416080296
306.45052557382263,35.339645676274706
325.898962931792,44.584054498545726
342.5900313289859,55.49594775288895
360.6151125311653,48.51383693681184
379.94699650059647,56.32173058606377
397.63956879403565,87.66159363146397
413.8638637541842,122.24394337713444
431.0520653322102,79.69248567587374
438.8581959573853,47.30343856423128
449.0780635927396,28.40050275158243
462.928823310364,17.120942150691036
478.8684328971136,14.411806738139637
485.4950776278593,11.970018826283995
501.4286899072051,12.614424679996308
520.3359260770123,15.299542970412112
539.2170869447904,32.30338767512249
560.367067811848,20.052496272431373
573.7268458647824,31.99673717680372
584.6798829128056,21.8868788304371
586.9600782142302,11.582966115556136
588.2002718816836,6.69847484552312
594.3699697093429,3.2968909656401224
598.9918496382654,1.7069269334881907
606.9330752871742,0.9611875209138785
615.3731845906963,0.4847768301547076
630.0178603818308,0.25266941786981867
647.2385349559222,0.1758953122415293
666.0459395775439,0.14542725290251787
684.174099572333,0.14322468611793496
702.3052500636634,0.15131362287004285
720.4401711810674,0.17465438800347252
738.5782328199228,0.21701949190364586
756.7151585558875,0.26256548519995887
774.8520640503962,0.3175194674952288
792.9874812025427,0.37079118944409295
811.1225923514994,0.4299011361661885
829.2567319105624,0.4871944396337498
847.3894898116438,0.5345027967462919
865.5223143904631,0.5873236364079036
883.6507806265765,0.5826015157686772
901.7816310680868,0.6111850326104757
919.910641204033,0.6140605809931989
938.0422317684328,0.6554749955525925
957.2076712610002,0.5931039169729435
973.5895545124904,0.5970010078765567
992.4286420733102,0.6551647489448098
1010.5596325380698,0.6895717450477139
1028.9569496045788,0.5965603037583781
