wavelength,mua
410.2864244058195,129.76381138482293
431.180259415253,140.9670915207333
439.63144319730736,109.98998307768217
439.7662129054597,79.97047399406647
442.9445318560529,55.76666684978586
450.9509756012045,40.706573300656856
460.7099870927874,28.688218952528114
475.11799197517615,20.821053479603897
487.65944660948105,16.311947404516225
512.2907130261942,19.738910168325056
528.4053730381695,27.11462334157795
557.9119679883595,34.6540868717735
574.0552745201041,28.505462436425578
581.9536457945278,19.81632018127914
588.9615208743305,14.004633822373565
594.110098086051,10.294664782662496
606.2270179298496,7.833325791756125
620.4319970114925,5.634633295386362
634.5185489137343,4.286839011809429
654.7966730508795,3.172700944949176
680.4122289614824,2.450158975325462
707.2387519587926,1.838688038918298
734.1210206081113,1.5301225119082205
760.3206806856381,1.4055210754526488
787.9370154316795,1.1657841517184087
814.9050466225497,1.1374300182565655
840.883990673498,1.093513946975027
868.8766392000756,1.156518145776048
895.8428326221982,1.1245400088746806
922.8298540901262,1.1364682133603505
949.8493428059272,1.2196767542981564
976.8149236384676,1.18456122359798
1003.843601198006,1.293449687742768
1023.3891294534268,1.1207052687773846
1042.8214511539993,0.787018840700967
1064.8271566753424,0.6911919471488616
