wl,mua (1/cm)
725.0,0.10706775936564242
726.0,0.106625155830664
727.0,0.10617439022648469
728.0,0.10571391731387365
729.0,0.10524219185360006
730.0,0.10475766860643308
731.0,0.10425880233314189
732.0,0.10374404779449566
733.0,0.10321185975126353
734.0,0.10266069296421468
735.0,0.10208900219411826
736.0,0.10149524220174348
737.0,0.10087786774785949
738.0,0.10023533359323546
739.0,0.09956609449864054
740.0,0.09886860522484389
741.0,0.09814132053261469
742.0,0.09738269518272213
743.0,0.09659118393593534
744.0,0.09576524155302352
745.0,0.09490332279475583
746.0,0.09400388242190141
747.0,0.09306537519522946
748.0,0.09208625587550913
749.0,0.09106497922350959
750.0,0.09
751.0,0.08889035792196436
752.0,0.08773743253124591
753.0,0.08654318832590274
754.0,0.08530958980399292
755.0,0.0840386014635745
756.0,0.08273218780270558
757.0,0.0813923133194442
758.0,0.08002094251184848
759.0,0.07862003987797643
760.0,0.07719156991588617
761.0,0.07573749712363576
762.0,0.07425978599928326
763.0,0.07276040104088677
764.0,0.07124130674650432
765.0,0.06970446761419404
766.0,0.06815184814201394
767.0,0.06658541282802213
768.0,0.06500712617027667
769.0,0.06341895266683562
770.0,0.06182285681575709
771.0,0.06022080311509913
772.0,0.0586147560629198
773.0,0.057006680157277174
774.0,0.05539853989622935
775.0,0.05379229977783438
776.0,0.05218992430015035
777.0,0.0505933779612353
778.0,0.049004625259147346
779.0,0.04742563069194452
780.0,0.04585835875768492
781.0,0.04430477395442661
782.0,0.042766840780227675
783.0,0.04124652373314616
784.0,0.03974578731124016
785.0,0.03826659601256774
786.0,0.03681091433518697
787.0,0.03538070677715592
788.0,0.03397793783653266
789.0,0.032604572011375274
790.0,0.031262573799741844
791.0,0.029953907699690408
792.0,0.02868053820927906
793.0,0.027444429826565874
794.0,0.026247547049608917
795.0,0.025091854376466258
796.0,0.023979316305195973
797.0,0.022911897333856138
798.0,0.02189156196050481
799.0,0.020920274683200075
800.0,0.02
801.0,0.01913212286711941
802.0,0.018315710073400097
803.0,0.017549248865840604
804.0,0.016831226491439484
805.0,0.01616013019719527
806.0,0.01553444723010651
807.0,0.014952664837171748
808.0,0.01441327026538953
809.0,0.013914750761758398
810.0,0.013455593573276897
811.0,0.013034285946943574
812.0,0.012649315129756965
813.0,0.012299168368715621
814.0,0.011982332910818086
815.0,0.0116972960030629
816.0,0.011442544892448609
817.0,0.011216566825973755
818.0,0.011017849050636887
819.0,0.010844878813436546
820.0,0.010696143361371275
821.0,0.010570129941439627
822.0,0.010465325800640132
823.0,0.01038021818597134
824.0,0.010313294344431796
825.0,0.010263041523020048
826.0,0.010227946968734629
827.0,0.010206497928574093
828.0,0.010197181649536985
829.0,0.010198485378621842
830.0,0.010208896362827211
831.0,0.010226901849151634
832.0,0.01025098908459366
833.0,0.01027964531615183
834.0,0.010311357790824685
835.0,0.010344613755610778
836.0,0.010377900457508641
837.0,0.010409705143516829
838.0,0.010438515060633886
839.0,0.010462817455858342
840.0,0.010481099576188754
841.0,0.010491848668623675
842.0,0.01049355198016163
843.0,0.010484696757801164
844.0,0.010463770248540828
845.0,0.010429259699379165
846.0,0.010379652357314719
847.0,0.010313435469346044
848.0,0.010229096282471657
849.0,0.010125122043690135
850.0,0.01
851.0,0.009852910609558004
852.0,0.009685807175153698
853.0,0.009501336210734835
854.0,0.00930214423024916
855.0,0.00909087774764443
856.0,0.008870183276868395
857.0,0.00864270733186881
858.0,0.00841109642659342
859.0,0.008177997074989982
860.0,0.007946055791006245
861.0,0.007717919088589961
862.0,0.007496233481688881
863.0,0.0072836454842507585
864.0,0.007082801610223342
865.0,0.006896348373554389
866.0,0.006726932288191644
867.0,0.006577199868082861
868.0,0.006449797627175794
869.0,0.006347372079418191
870.0,0.006272569738757805
871.0,0.006228037119142389
872.0,0.006216420734519694
873.0,0.00624036709883747
874.0,0.006302522726043468
875.0,0.0064055341300854425
