wl,mua (1/cm)
725.0,2.4573325892857145
726.0,2.4503985428571426
727.0,2.4433285392857145
728.0,2.4361248
729.0,2.4287895464285714
730.0,2.421325
731.0,2.413733382142857
732.0,2.406016914285714
733.0,2.3981778178571425
734.0,2.3902183142857143
735.0,2.382140625
736.0,2.3739469714285715
737.0,2.3656395750000003
738.0,2.3572206571428573
739.0,2.3486924392857143
740.0,2.340057142857143
741.0,2.331316989285714
742.0,2.3224742
743.0,2.3135309964285713
744.0,2.3044895999999997
745.0,2.2953522321428568
746.0,2.286121114285714
747.0,2.2767984678571427
748.0,2.2673865142857146
749.0,2.2578874750000004
750.0,2.2483035714285715
751.0,2.238637025
752.0,2.228890057142857
753.0,2.2190648892857143
754.0,2.209163742857143
755.0,2.199188839285714
756.0,2.1891424
757.0,2.179026646428571
758.0,2.1688438
759.0,2.158596082142857
760.0,2.1482857142857137
761.0,2.137914917857143
762.0,2.1274859142857143
763.0,2.1170009249999997
764.0,2.1064621714285714
765.0,2.095871875
766.0,2.085232257142857
767.0,2.0745455392857144
768.0,2.0638139428571427
769.0,2.0530396892857143
770.0,2.0422249999999997
771.0,2.031372096428571
772.0,2.0204831999999997
773.0,2.009560532142857
774.0,1.9986063142857144
775.0,1.987622767857143
776.0,1.9766121142857143
777.0,1.965576575
778.0,1.9545183714285714
779.0,1.943439725
780.0,1.9323428571428571
781.0,1.921229989285714
782.0,1.9101033428571428
783.0,1.8989651392857143
784.0,1.8878175999999998
785.0,1.8766629464285711
786.0,1.8655033999999997
787.0,1.854341182142857
788.0,1.843178514285714
789.0,1.8320176178571428
790.0,1.8208607142857143
791.0,1.8097100249999998
792.0,1.7985677714285715
793.0,1.7874361749999998
794.0,1.776317457142857
795.0,1.765213839285714
796.0,1.7541275428571428
797.0,1.743060789285714
798.0,1.7320157999999997
799.0,1.7209947964285712
800.0,1.71
801.0,1.699033307857143
802.0,1.68809532
803.0,1.6771863121428572
804.0,1.66630656
805.0,1.6554563392857145
806.0,1.6446359257142857
807.0,1.6338455950000002
808.0,1.6230856228571429
809.0,1.612356285
810.0,1.601657857142857
811.0,1.5909906150000002
812.0,1.580354834285714
813.0,1.5697507907142856
814.0,1.55917876
815.0,1.548639017857143
816.0,1.53813184
817.0,1.5276575021428571
818.0,1.51721628
819.0,1.5068084492857141
820.0,1.4964342857142856
821.0,1.486094065
822.0,1.475788062857143
823.0,1.465516555
824.0,1.4552798171428571
825.0,1.4450781250000002
826.0,1.4349117542857144
827.0,1.4247809807142857
828.0,1.41468608
829.0,1.404627327857143
830.0,1.3946049999999999
831.0,1.384619372142857
832.0,1.3746707200000001
833.0,1.3647593192857141
834.0,1.3548854457142856
835.0,1.345049375
836.0,1.335251382857143
837.0,1.325491745
838.0,1.315770737142857
839.0,1.306088635
840.0,1.2964457142857142
841.0,1.2868422507142858
842.0,1.27727852
843.0,1.267754797857143
844.0,1.25827136
845.0,1.2488284821428572
846.0,1.23942644
847.0,1.2300655092857142
848.0,1.2207459657142858
849.0,1.2114680850000001
850.0,1.202232142857143
851.0,1.1930384150000004
852.0,1.1838871771428572
853.0,1.1747787049999998
854.0,1.1657132742857144
855.0,1.1566911607142858
856.0,1.1477126400000002
857.0,1.1387779878571431
858.0,1.1298874799999998
859.0,1.1210413921428573
860.0,1.11224
861.0,1.1034835792857143
862.0,1.0947724057142858
863.0,1.086106755
864.0,1.077486902857143
865.0,1.068913125
866.0,1.0603856971428574
867.0,1.051904895
868.0,1.0434709942857145
869.0,1.035084270714286
870.0,1.0267450000000002
871.0,1.018453457857143
872.0,1.01020992
873.0,1.0020146621428574
874.0,0.9938679600000001
875.0,0.9857700892857144
