wl,mua (1/cm)
725.0,1.4818470982142857
726.0,1.4793910371428571
727.0,1.4768976632142858
728.0,1.4743673600000002
729.0,1.4718005110714285
730.0,1.4691975
731.0,1.4665587103571427
732.0,1.4638845257142858
733.0,1.4611753296428571
734.0,1.4584315057142858
735.0,1.4556534375
736.0,1.4528415085714284
737.0,1.4499961025
738.0,1.4471176028571429
739.0,1.444206393214286
740.0,1.4412628571428574
741.0,1.4382873782142855
742.0,1.43528034
743.0,1.4322421260714286
744.0,1.42917312
745.0,1.4260737053571428
746.0,1.4229442657142857
747.0,1.419785184642857
748.0,1.4165968457142857
749.0,1.4133796325
750.0,1.4101339285714285
751.0,1.4068601175000002
752.0,1.4035585828571429
753.0,1.4002297082142856
754.0,1.396873877142857
755.0,1.3934914732142858
756.0,1.39008288
757.0,1.3866484810714284
758.0,1.38318866
759.0,1.379703800357143
760.0,1.3761942857142857
761.0,1.372660499642857
762.0,1.3691028257142857
763.0,1.3655216475
764.0,1.3619173485714287
765.0,1.3582903125
766.0,1.3546409228571428
767.0,1.3509695632142857
768.0,1.3472766171428572
769.0,1.3435624682142857
770.0,1.3398274999999997
771.0,1.3360720960714285
772.0,1.33229664
773.0,1.3285015153571427
774.0,1.3246871057142857
775.0,1.3208537946428571
776.0,1.3170019657142857
777.0,1.3131320025
778.0,1.3092442885714286
779.0,1.3053392074999999
780.0,1.3014171428571428
781.0,1.2974784782142859
782.0,1.2935235971428571
783.0,1.2895528832142857
784.0,1.28556672
785.0,1.2815654910714287
786.0,1.2775495799999999
787.0,1.2735193703571428
788.0,1.269475245714286
789.0,1.265417589642857
790.0,1.261346785714286
791.0,1.2572632175
792.0,1.2531672685714286
793.0,1.2490593225
794.0,1.2449397628571428
795.0,1.2408089732142857
796.0,1.2366673371428571
797.0,1.2325152382142859
798.0,1.22835306
799.0,1.2241811860714287
800.0,1.22
801.0,1.2158098946428573
802.0,1.2116113000000002
803.0,1.2074046553571427
804.0,1.2031904
805.0,1.1989689732142859
806.0,1.1947408142857143
807.0,1.1905063624999999
808.0,1.1862660571428572
809.0,1.1820203375
810.0,1.177769642857143
811.0,1.1735144125
812.0,1.1692550857142856
813.0,1.1649921017857143
814.0,1.1607259
815.0,1.1564569196428571
816.0,1.1521856000000001
817.0,1.1479123803571427
818.0,1.1436377
819.0,1.1393619982142857
820.0,1.1350857142857143
821.0,1.1308092874999998
822.0,1.1265331571428572
823.0,1.1222577624999999
824.0,1.1179835428571427
825.0,1.1137109375
826.0,1.1094403857142856
827.0,1.1051723267857143
828.0,1.1009072
829.0,1.096645444642857
830.0,1.0923874999999998
831.0,1.0881338053571428
832.0,1.0838847999999999
833.0,1.0796409232142858
834.0,1.0754026142857145
835.0,1.0711703125
836.0,1.066944457142857
837.0,1.0627254875
838.0,1.058513842857143
839.0,1.0543099624999999
840.0,1.0501142857142856
841.0,1.0459272517857143
842.0,1.0417493
843.0,1.0375808696428572
844.0,1.0334223999999999
845.0,1.0292743303571428
846.0,1.0251371
847.0,1.0210111482142856
848.0,1.0168969142857143
849.0,1.0127948374999998
850.0,1.008705357142857
851.0,1.0046289125
852.0,1.000565942857143
853.0,0.9965168874999999
854.0,0.9924821857142856
855.0,0.9884622767857143
856.0,0.9844576
857.0,0.9804685946428571
858.0,0.9764956999999999
859.0,0.9725393553571428
860.0,0.9685999999999999
861.0,0.9646780732142858
862.0,0.9607740142857143
863.0,0.9568882624999999
864.0,0.953021257142857
865.0,0.9491734375
866.0,0.9453452428571427
867.0,0.9415371124999999
868.0,0.9377494857142856
869.0,0.9339828017857142
870.0,0.9302375
871.0,0.9265140196428572
872.0,0.9228128
873.0,0.9191342803571428
874.0,0.9154789
875.0,0.9118470982142857
