wl,mua (1/cm)
725.0,1.3006063904542167
726.0,1.2930343690433623
727.0,1.2855064365213824
728.0,1.2780206222266055
729.0,1.2705749554973595
730.0,1.263167465671973
731.0,1.2557961820887733
732.0,1.2484591340860889
733.0,1.2411543510022485
734.0,1.2338798621755793
735.0,1.2266336969444105
736.0,1.2194138846470692
737.0,1.2122184546218844
738.0,1.205045436207184
739.0,1.1978928587412956
740.0,1.190758751562548
741.0,1.1836411440092696
742.0,1.176538065419788
743.0,1.1694475451324309
744.0,1.1623676124855273
745.0,1.1552962968174052
746.0,1.1482316274663926
747.0,1.1411716337708175
748.0,1.1341143450690085
749.0,1.1270577906992931
750.0,1.12
751.0,1.1129396264492823
752.0,1.1058778200845927
753.0,1.09881635508321
754.0,1.0917570056224115
755.0,1.084701545879476
756.0,1.0776517500316813
757.0,1.0706093922563056
758.0,1.063576246730627
759.0,1.0565540876319237
760.0,1.0495446891374736
761.0,1.0425498254245547
762.0,1.0355712706704459
763.0,1.0286107990524245
764.0,1.021670184747769
765.0,1.0147512019337572
766.0,1.0078556247876678
767.0,1.0009852274867783
768.0,0.9941417842083672
769.0,0.9873270691297122
770.0,0.9805428564280921
771.0,0.9737909202807845
772.0,0.9670730348650677
773.0,0.9603909743582195
774.0,0.9537465129375186
775.0,0.9471414247802428
776.0,0.94057748406367
777.0,0.9340564649650787
778.0,0.9275801416617467
779.0,0.9211502883309525
780.0,0.914768679149974
781.0,0.9084370882960892
782.0,0.9021572899465763
783.0,0.8959310582787134
784.0,0.8897601674697788
785.0,0.8836463916970505
786.0,0.8775915051378065
787.0,0.8715972819693252
788.0,0.8656654963688843
789.0,0.8597979225137623
790.0,0.8539963345812372
791.0,0.8482625067485869
792.0,0.84259821319309
793.0,0.8370052280920242
794.0,0.8314853256226677
795.0,0.8260402799622988
796.0,0.8206718652881954
797.0,0.8153818557776357
798.0,0.8101720256078979
799.0,0.8050441489562599
800.0,0.8
801.0,0.7950406828789433
802.0,0.790164621583102
803.0,0.7853695700650357
804.0,0.7806532822773037
805.0,0.7760135121724654
806.0,0.77144801370308
807.0,0.7669545408217071
808.0,0.7625308474809062
809.0,0.7581746876332364
810.0,0.7538838152312571
811.0,0.7496559842275279
812.0,0.7454889485746078
813.0,0.7413804622250566
814.0,0.7373282791314334
815.0,0.7333301532462976
816.0,0.7293838385222088
817.0,0.725487088911726
818.0,0.7216376583674089
819.0,0.7178333008418166
820.0,0.7140717702875088
821.0,0.7103508206570447
822.0,0.7066682059029837
823.0,0.7030216799778851
824.0,0.6994089968343085
825.0,0.695827910424813
826.0,0.692276174701958
827.0,0.6887515436183032
828.0,0.6852517711264076
829.0,0.6817746111788308
830.0,0.678317817728132
831.0,0.6748791447268708
832.0,0.6714563461276064
833.0,0.6680471758828983
834.0,0.6646493879453057
835.0,0.6612607362673881
836.0,0.6578789748017049
837.0,0.6545018575008156
838.0,0.6511271383172792
839.0,0.6477525712036554
840.0,0.6443759101125034
841.0,0.6409949089963828
842.0,0.6376073218078527
843.0,0.6342109024994727
844.0,0.6308034050238018
845.0,0.6273825833333999
846.0,0.6239461913808262
847.0,0.6204919831186398
848.0,0.6170177124994005
849.0,0.6135211334756674
850.0,0.61
851.0,0.606452922034945
852.0,0.6028819335829995
853.0,0.5992899246566477
854.0,0.5956797852683741
855.0,0.5920544054306629
856.0,0.5884166751559986
857.0,0.5847694844568656
858.0,0.5811157233457483
859.0,0.5774582818351309
860.0,0.573800049937498
861.0,0.5701439176653339
862.0,0.5664927750311229
863.0,0.5628495120473492
864.0,0.5592170187264978
865.0,0.5555981850810524
866.0,0.5519959011234975
867.0,0.5484130568663179
868.0,0.5448525423219976
869.0,0.5413172475030209
870.0,0.5378100624218726
871.0,0.5343338770910367
872.0,0.5308915815229976
873.0,0.5274860657302398
874.0,0.5241202197252477
875.0,0.5207969335205056
