,wavelength,oxy,deoxy,water,fat,collagen,mel,musp
0,650,0.2627466666666667,2.6774666666666667,0.0032,0.00471,0.0752,283.49,22.209
1,651,0.2587466666666667,2.6392,0.0032380000000000004,0.00472,0.07405,282.04,22.132
2,652,0.2547466666666667,2.6008,0.003276,0.0046700000000000005,0.0729,280.61,22.055
3,653,0.2507466666666667,2.5624,0.003314,0.00464,0.07175,279.18,21.978
4,654,0.24674666666666667,2.524,0.0033520000000000004,0.00457,0.0706,277.76,21.902
5,655,0.24304,2.4856,0.00339,0.00448,0.06945,276.35,21.826
6,656,0.23932,2.4473333333333334,0.003428,0.004379999999999999,0.068722,274.95,21.751
7,657,0.23589333333333334,2.408933333333333,0.0034659999999999995,0.00428,0.067994,273.56,21.677
8,658,0.23246666666666668,2.3705333333333334,0.003504,0.00424,0.06726599999999999,272.18,21.602
9,659,0.23033333333333333,2.3370666666666664,0.003542,0.004220000000000001,0.066538,270.8,21.529
10,660,0.22818666666666665,2.303733333333333,0.00358,0.00418,0.06581000000000001,269.44,21.455
11,661,0.22618666666666667,2.272933333333333,0.003618,0.00414,0.06538200000000001,268.08,21.383000000000006
12,662,0.22418666666666665,2.2421333333333333,0.003656,0.00413,0.06495400000000001,266.74,21.31
13,663,0.22218666666666664,2.2113333333333336,0.003694,0.00414,0.064526,265.4,21.239
14,664,0.22018666666666667,2.1803999999999997,0.003732,0.00419,0.064098,264.07,21.167
15,665,0.21818666666666664,2.1496,0.00377,0.00428,0.06367,262.75,21.096
16,666,0.21618666666666667,2.1188,0.003808,0.00439,0.063486,261.44,21.026
17,667,0.21448,2.088,0.003846,0.00447,0.063302,260.14,20.956
18,668,0.21276,2.0572,0.003884,0.004520000000000001,0.06311800000000001,258.84,20.886
19,669,0.21133333333333332,2.0264,0.003922,0.004529999999999999,0.062934,257.56,20.817
20,670,0.20990666666666666,1.9956,0.00396,0.0045,0.06275,256.28,20.748
21,671,0.20848,1.9647999999999999,0.003998,0.004520000000000001,0.06224800000000001,255.01,20.68
22,672,0.20705333333333334,1.934,0.004036,0.00457,0.061746,253.75,20.612
23,673,0.20548,1.9050666666666665,0.004074,0.00462,0.061244000000000014,252.49,20.545
24,674,0.20390666666666665,1.876133333333333,0.004111999999999999,0.00463,0.060742,251.25,20.478
25,675,0.20262666666666668,1.8499999999999999,0.00415,0.00457,0.06024,250.01,20.411
26,676,0.20134666666666667,1.8237333333333332,0.004224,0.00446,0.060114,248.78,20.345
27,677,0.20034666666666667,1.7976,0.004298,0.00433,0.059988,247.56,20.279
28,678,0.19934666666666667,1.7714666666666665,0.004372,0.004220000000000001,0.059862,246.35,20.214
29,679,0.19877333333333333,1.7453333333333332,0.004446,0.00413,0.059736,245.14,20.149
30,680,0.1982,1.7191999999999998,0.004520000000000001,0.00406,0.05961,243.94,20.084
31,681,0.1976266666666667,1.6930666666666667,0.004594,0.00398,0.058986,242.75,20.02
32,682,0.19705333333333333,1.6669333333333334,0.004668,0.00387,0.058362,241.57,19.956
33,683,0.19649333333333335,1.6407999999999996,0.0047420000000000006,0.00375,0.057738,240.39,19.893
