wavelength,oxy,deoxy,water,fat,collagen,mel
650,1.9699621893014319,20.084945023255813,0.0032,0.882130654178121,0.0752,283.49
651,1.9399845038120622,19.797123581395347,0.003238,0.8800601559965147,0.07405,282.04
652,1.9100068183226928,19.509302139534885,0.003276,0.8780447260893617,0.0729,280.61
653,1.8800291328333232,19.221480697674416,0.003314,0.876083204709317,0.07175,279.18
654,1.8500514473439535,18.933659255813954,0.003352,0.8741744321090352,0.0706,277.76
655,1.8222150251038245,18.645837813953488,0.00339,0.8723172485411707,0.06945,276.35
656,1.7943786028636957,18.358016372093022,0.003428,0.870510494258378,0.068722,274.95
657,1.7686834438728072,18.070194930232557,0.0034659999999999,0.8687530095133115,0.067994,273.56
658,1.7429882848819191,17.78237348837209,0.003504,0.8670436345586264,0.0672659999999999,272.18
659,1.726928810512614,17.531614279069768,0.003542,0.865381209646977,0.066538,270.8
660,1.710869336143309,17.28085506976744,0.00358,0.8637645750310176,0.06581,269.44
661,1.695880493398624,17.049805255813954,0.003618,0.8621925709634034,0.065382,268.08
662,1.680891650653939,16.818755441860464,0.003656,0.8606640376967883,0.064954,266.74
663,1.6659028079092542,16.587598511627906,0.003694,0.8591778154838273,0.064526,265.4
664,1.6509139651645695,16.356441581395348,0.003732,0.8577327445771749,0.064098,264.07
665,1.635925122419885,16.125391767441858,0.00377,0.8563276652294857,0.06367,262.75
666,1.6209362796751998,15.89434195348837,0.003808,0.8549614176934144,0.063486,261.44
667,1.6080887001797557,15.663292139534883,0.003846,0.8536328422216154,0.063302,260.14
668,1.5952411206843118,15.432242325581395,0.003884,0.8523407790667434,0.063118,258.84
669,1.5845348044381082,15.201192511627907,0.003922,0.851084068481453,0.062934,257.56
670,1.573828488191905,14.970142697674417,0.00396,0.8498615507183986,0.06275,256.28
671,1.5631221719457014,14.73909288372093,0.003998,0.848672066030235,0.062248,255.01
672,1.552415855699498,14.508043069767442,0.004036,0.8475144546696166,0.061746,253.75
673,1.5406389078286742,14.290597023255811,0.004074,0.8463875568891982,0.061244,252.49
674,1.5288619599578506,14.073150976744184,0.0041119999999999,0.8452902129416344,0.060742,251.25
675,1.5192262753362673,13.87702106976744,0.00415,0.8442212630795796,0.06024,250.01
676,1.5095905907146843,13.680891162790697,0.004224,0.8431795475556884,0.060114,248.78
677,1.5020961693423418,13.48476125581395,0.004298,0.8421639066226154,0.059988,247.56
678,1.4946017479699993,13.288631348837209,0.004372,0.8411731805330155,0.059862,246.35
679,1.490319221471518,13.092501441860463,0.004446,0.840206209539543,0.059736,245.14
680,1.4860366949730368,12.896371534883722,0.00452,0.8392618338948523,0.05961,243.94
681,1.4817541684745554,12.700241627906976,0.004594,0.8383388938515983,0.058986,242.75
682,1.4774716419760738,12.504111720930233,0.004668,0.8374362296624356,0.058362,241.57
683,1.4731891154775925,12.308088930232557,0.004742,0.8365526815800187,0.057738,240.39
684,1.468906588979111,12.112066139534884,0.004816,0.8356870898570022,0.057114,239.22
685,1.46462406248063,11.915936232558137,0.00489,0.8348382947460404,0.05649,238.06
686,1.4603415359821486,11.719806325581395,0.004964,0.8340051364997884,0.056072,236.91
687,1.46462406248063,11.52367641860465,0.005038,0.8331864553709005,0.055654,235.76
688,1.468906588979111,11.327546511627908,0.0051119999999999,0.8323810916120314,0.055236,234.62
689,1.4731891154775925,11.158731255813953,0.005186,0.8315878854758356,0.0548179999999999,233.49
690,1.4774716419760738,10.989916,0.00526,0.8308056772149676,0.0544,232.37
691,1.4817541684745554,10.852057348837208,0.005334,0.8300333070820822,0.054798,231.25
692,1.4860366949730368,10.71419869767442,0.005408,0.8292696153298339,0.055196,230.14
693,1.490319221471518,10.576447162790696,0.005482,0.8285134422108773,0.055594,229.03
694,1.4946017479699993,10.438695627906975,0.005556,0.8277636279778671,0.0559919999999999,227.94
695,1.5020961693423418,10.300836976744185,0.00563,0.8270190128834575,0.05639,226.85
696,1.5095905907146843,10.162978325581395,0.005704,0.8262784371803032,0.055758,225.76
697,1.5202969069608878,10.025119674418605,0.005778,0.8255407411210594,0.055126,224.69
698,1.5310032232070911,9.887261023255812,0.005852,0.82480476495838,0.054494,223.62
699,1.5417095394532945,9.748545441860465,0.005926,0.8240693489449198,0.0538619999999999,222.55
700,1.552415855699498,9.609829860465117,0.006,0.8233333333333334,0.0532299999999999,221.5
701,1.5631221719457014,9.467150976744186,0.006396,0.8225957486143706,0.053184,220.45
702,1.573828488191905,9.324472093023255,0.006792,0.8218563862311622,0.053138,219.4
703,1.5845348044381082,9.181900325581395,0.007188,0.8211152278649343,0.0530919999999999,218.36
704,1.5952411206843118,9.039328558139534,0.007584,0.8203722551969129,0.053046,217.33
705,1.6080887001797557,8.896649674418605,0.00798,0.8196274499083239,0.053,216.31
706,1.6209362796751998,8.753970790697675,0.008376,0.8188807936803933,0.052536,215.29
707,1.635925122419885,8.617504651162792,0.008772,0.8181322681943474,0.052072,214.28
708,1.6509139651645695,8.481038511627906,0.009168,0.8173818551314117,0.051608,213.27
709,1.6659028079092542,8.365781395348836,0.009564,0.8166295361728128,0.051144,212.27
710,1.680891650653939,8.250524279069767,0.00996,0.8158752929997762,0.05068,211.28
711,1.695880493398624,8.135160046511627,0.010356,0.8151191072935284,0.05087,210.29
712,1.710869336143309,8.019795813953488,0.010752,0.8143609607352952,0.05106,209.31
713,1.7258581788879934,7.904538697674419,0.011148,0.8136008350063023,0.05125,208.33
714,1.7408470216326781,7.789281581395349,0.011544,0.8128387117877763,0.05144,207.36
