SDS [mm],Rmax/Rmin [-]
9.41,1.0762373756026427
10.145,1.0909814695890698
10.88,1.1064192167143716
11.615,1.1221929531402663
12.35,1.1386988913876137
13.085,1.1561966744085126
13.82,1.1741413740313662
14.555,1.1934952797182312
15.29,1.2130989600831423
16.025,1.2331721544069114
16.76,1.253838067149474
17.495,1.2742079206856864
18.23,1.2959968305914147
18.965,1.3176336917751126
19.7,1.3391347129207785
20.435,1.3596067575448114
21.17,1.37941066658546
21.905,1.3997520483349737
22.64,1.4213301410419465
23.375,1.4428183873295866
24.11,1.4643298774289246
24.845,1.4858698749431842
25.58,1.5077042025902436
26.315,1.5319827149934053
27.05,1.5563851635755483
27.785,1.5811193027677712
28.52,1.608856834009495
29.255,1.639123581569826
29.99,1.670052401786321
30.725,1.6915351913321934
31.46,1.713157314457368
32.195,1.7335627518733823
32.93,1.759480120713987
33.665,1.778862309155509
34.4,1.79494861048961
35.135,1.8096824935915437
35.87,1.8317389100016441
36.605,1.8527508704111195
37.34,1.8777690207399949
38.075,1.894796292063144
38.81,1.9216180694176348
