SDS [mm],Rmax/Rmin [-]
9.41,1.352075195220801
10.145,1.4281777223505352
10.88,1.5112677559332472
11.615,1.600486693884336
12.35,1.6932254753440195
13.085,1.7882651415840622
13.82,1.8862028279497962
14.555,1.9889189231929294
15.29,2.092781127045225
16.025,2.2036891090832826
16.76,2.3114407022499766
17.495,2.4219158153406317
18.23,2.521307030413217
18.965,2.6256151018962384
19.7,2.7279869866935162
20.435,2.8184803917652057
21.17,2.899168148166042
21.905,2.945695775210056
22.64,2.9980342777731352
23.375,3.0107321717443014
24.11,3.0385018122540264
24.845,3.045140817952299
25.58,3.0622887950156286
26.315,3.11223446986977
27.05,3.231906496854722
27.785,3.3989303877178116
28.52,3.592089727854925
29.255,3.769535744217386
29.99,3.998549398529407
30.725,4.134279228717668
31.46,4.252936191929296
32.195,4.313663090972241
32.93,4.365859797625747
33.665,4.390699507870275
34.4,4.408023795071368
35.135,4.484770328250589
35.87,4.598891403141991
36.605,4.667527290409379
37.34,4.593802268342229
38.075,4.639721537856917
38.81,4.6763822532324175
