SDS [mm],Rmax/Rmin [-]
5.735,1.0004759270889712
6.47,1.001136338855249
7.205,1.001785662902611
7.94,1.0028791930369034
8.675,1.0039673811035985
9.41,1.005121531401873
10.145,1.0067028773858473
10.88,1.0083704130177205
11.615,1.0105297540127034
12.35,1.0127467442071416
13.085,1.0144348320378378
13.82,1.0167089294182303
14.555,1.019451252598596
15.29,1.0239294234140668
16.025,1.0282455794182663
16.76,1.0316791142334725
17.495,1.0347403663951276
18.23,1.0392699810830275
18.965,1.0431592422509766
19.7,1.0472565423221751
20.435,1.0500223824296089
21.17,1.0545476334722967
21.905,1.0577456404194903
22.64,1.0602258340072432
23.375,1.0585279713971878
24.11,1.058494018404515
24.845,1.059547397335568
25.58,1.0638272920367726
26.315,1.0719667997361717
27.05,1.0784349430853006
27.785,1.0956536556803311
28.52,1.1063181332190557
29.255,1.1247749694343336
29.99,1.1362698183175801
30.725,1.149210743369
31.46,1.156069477575274
32.195,1.1599797772973424
32.93,1.1674649277538143
33.665,1.1776717879596956
34.4,1.1909958948537207
35.135,1.1889562715329425
35.87,1.1980126140603684
36.605,1.2070813720691018
37.34,1.2255624224102921
38.075,1.242213296881578
38.81,1.2439140995665166
39.545,1.238146144966685
40.28,1.2307058174923564
41.015,1.21992883851371
41.75,1.2411219834515657
42.485,1.2319359878994767
43.22,1.2655275802013022
43.955,1.240681406883537
