SDS [mm],Rmax/Rmin [-]
5.735,1.041802992207929
6.47,1.0761174967638947
7.205,1.1232082408703579
7.94,1.1826817198441204
8.675,1.2506283971701517
9.41,1.3278715387038127
10.145,1.4114892734415931
10.88,1.503996418926356
11.615,1.6038978983777241
12.35,1.7095510805116618
13.085,1.815426468083301
13.82,1.9231695598730194
14.555,2.032340045045176
15.29,2.136964684594381
16.025,2.227963118230489
16.76,2.2972180977454224
17.495,2.341459319386461
18.23,2.35567045498978
18.965,2.336737743334944
19.7,2.241592005189521
20.435,2.102003657560555
21.17,1.9333074847933382
21.905,1.7644949463705064
22.64,1.6192285319362665
23.375,1.4890775590543153
24.11,1.4136302923914508
24.845,1.3439488908369548
25.58,1.3130287566354086
26.315,1.29040290144506
27.05,1.3272385594444376
27.785,1.3801918456372713
28.52,1.5061618887393677
29.255,1.705916443816092
29.99,2.224938363092904
30.725,2.748031510501751
31.46,2.9950142384427108
32.195,3.151432713668039
32.93,3.121718063990541
33.665,3.3389190636817054
34.4,3.425923744096567
35.135,4.626379957173814
35.87,5.167636935028218
36.605,5.895549573321518
37.34,6.026020673926867
38.075,6.471794731676679
38.81,5.737888021002762
39.545,10.204785765343269
40.28,9.859675263136626
41.015,17.212328453539087
41.75,10.893878107054812
42.485,21.497316358795317
43.22,19.308908864904133
43.955,11.826270185230653
