SDS [mm],Rmax / Rmin  [-]
10.0,1.0157279414438962
12.0,1.014663578750039
14.0,1.0119066732794118
16.0,1.0101643933834925
18.0,1.0065459918423114
20.0,1.0179558996213243
22.0,1.0116870477408917
24.0,1.0173139035141665
26.0,1.02048007288594
28.0,1.0294819515878293
30.0,1.0369156369546413
33.0,1.0461134204972176
36.0,1.0693292831695198
39.0,1.0910463191849828
