SDS [mm],Rmax / Rmin  [-]
11.0,1.0400003586664825
13.0,1.0314331372491685
15.0,1.0331291647848426
17.0,1.0253051926457615
19.0,1.021672755747973
21.0,1.0151581577734228
23.0,1.0096574959694693
25.0,1.013768825907642
27.0,1.0125100029298815
29.0,1.0126782960209544
31.0,1.0129926325614926
34.0,1.019601393599037
37.0,1.0376060994798937
40.0,1.05339305600078
