wl [nm],total cv [%],detector cv [%],phy + sys cv [%]
726.762,0.010695244185014744,0.004604758887938839,0.009653208987742884
726.933,0.010419523387910672,0.004842865067097759,0.009225677512958153
727.104,0.010585040875842786,0.004887020293023424,0.00938936222535055
727.274,0.010499547495194841,0.004925751931856339,0.00927240343760267
727.445,0.010365784891024535,0.004955554260603136,0.00910450319222365
727.615,0.010247303398500768,0.004958932249452408,0.008967509012332594
727.786,0.01043931572341383,0.005170057508448157,0.009069168546920608
727.956,0.010579767390966553,0.005220658652083576,0.009201967250831972
728.127,0.010857511709308215,0.0054424921434741026,0.00939493692293821
728.297,0.010769182558839303,0.005312572798970395,0.009367596449530077
728.467,0.010839772382316766,0.005284309232951898,0.009464498995244102
728.638,0.010835374778097814,0.005310608379308019,0.009444722612309041
728.808,0.010743010517466497,0.005278197988753919,0.009356970715456464
728.978,0.01081152689097302,0.005198284063867629,0.00947981837935583
729.148,0.010792488523364344,0.004978285391719265,0.009575723632475283
729.319,0.010775366804399066,0.004869815343581672,0.009612150034657275
729.489,0.010579251707068665,0.004830486453680886,0.00941206498608678
729.659,0.010353860091610803,0.004861491463867569,0.009141570955989655
729.829,0.010360965805611393,0.0047107762053369764,0.009228120066854327
729.999,0.010317806075535509,0.004667781864405535,0.00920157240251275
730.169,0.010117028671802638,0.004580961447052981,0.009020480107327488
730.339,0.010097422363035046,0.0046077545735048655,0.008984794720407653
730.509,0.010083663591464351,0.004648048247652155,0.008948514899877046
730.679,0.01001894626574284,0.004601755726886714,0.008899613952633435
730.849,0.010098392549200674,0.004511266221045601,0.00903471134904733
731.019,0.01005358239319351,0.004551810617997399,0.008964125112615101
731.188,0.010031337848298835,0.004514439024158636,0.00895810132359901
731.358,0.01005942320759508,0.004534165038133584,0.008979607044657886
731.528,0.010148908586177499,0.004620475420307377,0.009036124854212823
731.698,0.010170842405230883,0.004554791315998905,0.009093949158629802
731.867,0.01023238574394891,0.004629369629983734,0.009125275603616208
732.037,0.010158631333008416,0.004563872334312877,0.009075729164980293
732.206,0.010346476434066016,0.004593137858660979,0.009271065699908434
732.376,0.010070941686218107,0.0043724928368283995,0.009072219840760582
732.545,0.010016096978535862,0.00437280290192998,0.00901114828777709
732.715,0.009950578104179509,0.004391102040870581,0.008929290423882453
732.884,0.010029842012507874,0.00460238951997689,0.008911551015523331
733.054,0.010045264187009803,0.004662615808546395,0.008897603408149577
733.223,0.010182667864993363,0.0047706844326425735,0.008995959920592706
733.393,0.0101650473956023,0.004653514231965714,0.009037311206754675
733.562,0.010210928356566252,0.004732049178540434,0.009048246707224752
733.731,0.01023205595096249,0.004757862756294953,0.009058571133235545
733.9,0.010071150815181609,0.004813861626508323,0.008846175161218765
734.07,0.010135884810023936,0.004882029063312332,0.008882677136260649
734.239,0.01018784600278786,0.004923663203789315,0.008919066477618143
734.408,0.010288518718263575,0.004842387229982342,0.009077714653532788
734.577,0.010273195469442385,0.004844224756028339,0.009059361548500742
734.746,0.010169926397687172,0.0048961228083229036,0.008913774979221465
734.915,0.009922017299931212,0.004821326779055359,0.008671864585525879
735.084,0.00988191848208395,0.004886313408382227,0.008589310459030832
735.253,0.009633168666973906,0.004737101322013262,0.008387956224930363
735.422,0.009560936466504346,0.004685795959330863,0.008333955984048102
735.591,0.009357741645732281,0.004467106383821723,0.00822266922987247
735.76,0.00925399993467098,0.0045045203506853225,0.008083675599697967
735.928,0.009350896097301995,0.004461324951890263,0.008218019073729326
736.097,0.009211942366267902,0.004230140379404237,0.00818326307349185
736.266,0.009257418511170856,0.004304397408085468,0.008195850196546782
736.435,0.00933347048467265,0.0044221641880550725,0.008219375595636125
736.603,0.009431842211735627,0.004378640707798487,0.008353870543591633
736.772,0.009509526107828273,0.004311965062619614,0.008475732658255295
736.94,0.009479511126953815,0.0044231071086282174,0.008384345812980504
737.109,0.009300815671393074,0.004482929070310234,0.008149142231167548
737.278,0.009232513430368187,0.004531916448336395,0.008043695515571618
737.446,0.009200803899533825,0.004383075955227786,0.008089711834693548
737.615,0.009095318879357613,0.004376122905157529,0.007973353989141247
737.783,0.009163974415440292,0.004464441143524577,0.008002948979148198
737.951,0.008986545764102205,0.004424446259109583,0.007821910257127378
738.12,0.008962959479065858,0.0042671812225154974,0.007881992580406788
738.288,0.009013911595768767,0.004256004652723042,0.007945881112396186
738.456,0.008899329093899533,0.004204653369105421,0.007843401581405679
738.625,0.008694208323097327,0.004132193774459528,0.007649459652533161
738.793,0.008835630338842524,0.004102405971809216,0.007825511403553032
738.961,0.008683604417693076,0.0040546119719476305,0.00767887409975692
739.129,0.008853467901208322,0.004270023065920786,0.007755694481748913
739.297,0.008865203661158958,0.00436358335677926,0.00771692790184444
739.465,0.00889342027466167,0.00456120704275969,0.007634678414631663
739.633,0.008994411913989241,0.00449420568505228,0.007791120647182622
739.801,0.008930338279375848,0.00456748793906017,0.007673916582203996
739.969,0.009032956097030026,0.004817973139090237,0.007640774220056295
740.137,0.008866607235946585,0.004802571047504038,0.007453323769313683
740.305,0.008857292343468496,0.0047066244180825854,0.0075032868960725725
740.473,0.008830000350840781,0.00462266355699961,0.007523289694982909
740.641,0.008870417484582636,0.0045624829631855665,0.0076071055968371295
740.808,0.00883681765603185,0.004530647665445704,0.007587000594276214
740.976,0.00890621789016502,0.004431448873990566,0.007725475906654764
741.144,0.009018730490972593,0.004573703183987241,0.007772949173485165
741.312,0.00913106159549726,0.0046758669590663115,0.007842993946311378
741.479,0.009152114689057472,0.0048372071361411735,0.0077693391227134905
741.647,0.009021414794874512,0.004799501584015901,0.007638763607169002
741.814,0.009219082915318139,0.0048796986130119745,0.007821766504165144
741.982,0.009286908098876492,0.004917543573726739,0.007878097945410212
742.15,0.009184559843583021,0.0048200018124619085,0.007818166156345214
742.317,0.009254116275462422,0.004877930326354135,0.00786412511160734
742.484,0.009399895510268968,0.0050079088433709045,0.00795480261354499
742.652,0.009541970541507933,0.005014867387809965,0.008117900399591342
742.819,0.009529562145725456,0.005036403451201207,0.008089944064452617
742.987,0.009381991494050381,0.004877105397310898,0.008014711931064934
743.154,0.009433419608362515,0.004834802546077328,0.008100252455811644
743.321,0.009255722717592079,0.004687487515634731,0.007980968851945146
743.488,0.00925683778613019,0.004733355993268885,0.0079551484486283
743.655,0.00908022141604963,0.004650787902776724,0.007798755852562125
743.823,0.009125351682158422,0.004489655080178421,0.007944497503561796
743.99,0.00931110734107184,0.004657253380010709,0.008062673928129599
744.157,0.009246920914359273,0.004732530214804194,0.00794409870044301
744.324,0.009239224903067793,0.004770260811548155,0.007912514682405083
744.491,0.00922341743491081,0.004823919956753146,0.007861375543087572
744.658,0.00922631374268061,0.004861565159796991,0.007841559122739887
744.825,0.00932791121056057,0.0049521644042156065,0.007904808363630422
744.992,0.009369623327150809,0.004935861803443803,0.007964113858427256
745.159,0.009449548565705785,0.005005172285551599,0.008015124358834268
745.325,0.00943748302110864,0.004982647395590539,0.008014942963298535
745.492,0.009454605153279694,0.005084316486166633,0.007971153271197157
745.659,0.009411904542894797,0.005115721455290589,0.007900211460235939
745.826,0.009568641430355867,0.005155893631535732,0.008060748084577019
745.992,0.009497360004296174,0.005128575429754287,0.007993595005535698
746.159,0.009431214760544294,0.005102780911518011,0.00793154706400687
746.326,0.009346970802324104,0.0049741615800023365,0.007913506160705755
746.492,0.009368360937419893,0.0050052626870376125,0.00791918759012084
746.659,0.009427249822695466,0.005009133738713926,0.00798633948734898
746.825,0.00954786427005891,0.004975543214818723,0.008148968145534681
746.992,0.009409519117873844,0.00487814256636709,0.008046289525727425
747.158,0.009607390955315069,0.005107925031377744,0.008137018055903184
747.325,0.00953226938322903,0.005128191435240921,0.008035285445954438
747.491,0.009468784292183051,0.005051128247271572,0.008008993657227336
747.657,0.009584244241932521,0.0051758401956294,0.008066499610011999
