SDS [mm],Rmax / Rmin  [-]
13.0,1.0454423404084863
16.0,1.042807516188056
19.0,1.0661712260459535
21.0,1.049907464112015
23.0,1.035307355839399
25.0,1.0259397246031827
27.0,1.033967036855187
29.0,1.0353921904398011
32.0,1.0360174629704955
35.0,1.0538445961158123
38.0,1.0692693281034895
